time_yr,abundance_fraction,production,loss
        0.00,  2.099850E-09,  2.000000E-09,  1.500000E-13
    10000.00,  2.193410E-08,  2.000000E-09,  2.994607E-11
    20000.00,  4.147284E-08,  2.000000E-09,  5.929821E-11
    30000.00,  6.072047E-08,  2.000000E-09,  8.821303E-11
    40000.00,  7.968134E-08,  2.000000E-09,  1.166971E-10
    50000.00,  9.835969E-08,  2.000000E-09,  1.447567E-10
    60000.00,  1.167598E-07,  2.000000E-09,  1.723982E-10
    70000.00,  1.348856E-07,  2.000000E-09,  1.996279E-10
    80000.00,  1.527414E-07,  2.000000E-09,  2.264518E-10
    90000.00,  1.703311E-07,  2.000000E-09,  2.528760E-10
   100000.00,  1.876588E-07,  2.000000E-09,  2.789066E-10
   110000.00,  2.047283E-07,  2.000000E-09,  3.045494E-10
   120000.00,  2.215435E-07,  2.000000E-09,  3.298100E-10
   130000.00,  2.381082E-07,  2.000000E-09,  3.546944E-10
   140000.00,  2.544261E-07,  2.000000E-09,  3.792080E-10
   150000.00,  2.705010E-07,  2.000000E-09,  4.033565E-10
   160000.00,  2.863364E-07,  2.000000E-09,  4.271453E-10
   170000.00,  3.019359E-07,  2.000000E-09,  4.505797E-10
   180000.00,  3.173029E-07,  2.000000E-09,  4.736648E-10
   190000.00,  3.324409E-07,  2.000000E-09,  4.964060E-10
   200000.00,  3.473535E-07,  2.000000E-09,  5.188084E-10
