scenario,compound_id,solubility_multiplier,hERG_multiplier,stability_multiplier,modeled_solubility_uM,modeled_hERG_ic50_uM,modeled_microsomal_half_life_min,modeled_safety_liability_score,modeled_developability_score,modeled_MPO_score
admet_rescue,MEDADV007,1.0,1.0,1.0,22.0,2.0,30.0,0.44249999999999995,0.6354734859916035,0.6324682516359599
admet_rescue,MEDADV007,1.0,1.0,1.5,22.0,2.0,45.0,0.44249999999999995,0.6436401526582701,0.6375082516359599
admet_rescue,MEDADV007,1.0,1.0,2.5,22.0,2.0,75.0,0.44249999999999995,0.6599734859916035,0.64758825163596
admet_rescue,MEDADV007,1.0,2.0,1.0,22.0,4.0,30.0,0.3725,0.6459734859916034,0.6411482516359599
admet_rescue,MEDADV007,1.0,2.0,1.5,22.0,4.0,45.0,0.3725,0.6541401526582701,0.6461882516359599
admet_rescue,MEDADV007,1.0,2.0,2.5,22.0,4.0,75.0,0.3725,0.6704734859916035,0.65626825163596
admet_rescue,MEDADV007,1.0,4.0,1.0,22.0,8.0,30.0,0.23249999999999998,0.6669734859916034,0.6585082516359599
admet_rescue,MEDADV007,1.0,4.0,1.5,22.0,8.0,45.0,0.23249999999999998,0.6751401526582701,0.66354825163596
admet_rescue,MEDADV007,1.0,4.0,2.5,22.0,8.0,75.0,0.23249999999999998,0.6914734859916035,0.67362825163596
admet_rescue,MEDADV007,2.0,1.0,1.0,44.0,2.0,30.0,0.44249999999999995,0.6437190902206603,0.6375569673887493
admet_rescue,MEDADV007,2.0,1.0,1.5,44.0,2.0,45.0,0.44249999999999995,0.651885756887327,0.6425969673887493
admet_rescue,MEDADV007,2.0,1.0,2.5,44.0,2.0,75.0,0.44249999999999995,0.6682190902206604,0.6526769673887494
admet_rescue,MEDADV007,2.0,2.0,1.0,44.0,4.0,30.0,0.3725,0.6542190902206603,0.6462369673887494
admet_rescue,MEDADV007,2.0,2.0,1.5,44.0,4.0,45.0,0.3725,0.6623857568873269,0.6512769673887493
admet_rescue,MEDADV007,2.0,2.0,2.5,44.0,4.0,75.0,0.3725,0.6787190902206603,0.6613569673887494
admet_rescue,MEDADV007,2.0,4.0,1.0,44.0,8.0,30.0,0.23249999999999998,0.6752190902206603,0.6635969673887493
admet_rescue,MEDADV007,2.0,4.0,1.5,44.0,8.0,45.0,0.23249999999999998,0.683385756887327,0.6686369673887493
admet_rescue,MEDADV007,2.0,4.0,2.5,44.0,8.0,75.0,0.23249999999999998,0.6997190902206604,0.6787169673887493
admet_rescue,MEDADV007,5.0,1.0,1.0,110.0,2.0,30.0,0.44249999999999995,0.6546191861103727,0.6442838837092575
admet_rescue,MEDADV007,5.0,1.0,1.5,110.0,2.0,45.0,0.44249999999999995,0.6627858527770394,0.6493238837092575
admet_rescue,MEDADV007,5.0,1.0,2.5,110.0,2.0,75.0,0.44249999999999995,0.6791191861103727,0.6594038837092575
admet_rescue,MEDADV007,5.0,2.0,1.0,110.0,4.0,30.0,0.3725,0.6651191861103727,0.6529638837092575
admet_rescue,MEDADV007,5.0,2.0,1.5,110.0,4.0,45.0,0.3725,0.6732858527770393,0.6580038837092576
admet_rescue,MEDADV007,5.0,2.0,2.5,110.0,4.0,75.0,0.3725,0.6896191861103727,0.6680838837092575
admet_rescue,MEDADV007,5.0,4.0,1.0,110.0,8.0,30.0,0.23249999999999998,0.6861191861103727,0.6703238837092576
admet_rescue,MEDADV007,5.0,4.0,1.5,110.0,8.0,45.0,0.23249999999999998,0.6942858527770394,0.6753638837092576
admet_rescue,MEDADV007,5.0,4.0,2.5,110.0,8.0,75.0,0.23249999999999998,0.7106191861103727,0.6854438837092576
