record_id,chemical,chemical_class,medium,route,target_system,effect_type,concentration,unit,reference_dose_mg_kg_day,slope_factor_per_mg_kg_day,point_of_departure_mg_kg_day,intake_rate,body_weight_kg,exposure_frequency_days_year,exposure_duration_years,averaging_time_days,absorption_fraction,exposure_quality_score,vulnerability_factor,mixture_group,chronic_daily_intake_mg_kg_day,absorbed_dose_mg_kg_day,hazard_quotient,vulnerability_adjusted_hazard,margin_of_exposure,cancer_risk_proxy,evidence_weighted_risk_index,mc_hq_p05,mc_hq_p50,mc_hq_p95,mc_cancer_risk_p05,mc_cancer_risk_p50,mc_cancer_risk_p95,mc_probability_hq_above_1,mc_draws,attention_flag
TOX001,arsenic,metalloid,drinking_water,ingestion,cancer_and_skin,cancer_non_cancer,0.01,mg_L,0.0003,1.5,0.008,2.0,70.0,350.0,30.0,10950.0,0.95,0.88,1.2,metals_metalloids,0.000273972602739726,0.0002602739726027397,0.8675799086757991,1.0410958904109588,30.73684210526316,0.00039041095890410954,0.4192234438219651,0.4073813242791837,0.8655683216119975,1.8383812325111566,0.0002475147673682387,0.00039086962572969165,0.0006159142066315492,0.368,1000,high_attention
TOX002,benzene,volatile_organic,air,inhalation,bone_marrow,cancer_non_cancer,0.004,mg_m3,0.008,0.055,0.18,20.0,70.0,250.0,25.0,9125.0,0.8,0.84,1.1,volatile_organics,0.0007827788649706458,0.0006262230919765167,0.07827788649706457,0.08610567514677105,287.4375,3.4442270058708414e-05,0.1362490570166415,0.03811752361164758,0.07690820594197861,0.16571259334786892,2.2101076579487445e-05,3.4273422130104054e-05,5.5014908804697525e-05,0.0,1000,moderate_attention
TOX003,lead,metal,soil_dust,ingestion,neurodevelopment,non_cancer,120.0,mg_kg,0.0035,0.0,0.05,0.0001,15.0,180.0,6.0,2190.0,0.4,0.76,1.8,metals_metalloids,0.0003945205479452055,0.0001578082191780822,0.0450880626223092,0.08115851272015656,316.84027777777777,0.0,0.19227622405711886,0.020398616066249854,0.04654983281916927,0.09443535881060648,0.0,0.0,0.0,0.0,1000,monitor
TOX004,mercury,metal,fish,ingestion,neurodevelopment,non_cancer,0.35,mg_kg,0.0001,0.0,0.006,0.03,70.0,156.0,30.0,10950.0,0.95,0.82,1.5,metals_metalloids,6.41095890410959e-05,6.0904109589041094e-05,0.6090410958904109,0.9135616438356163,98.51551956815115,0.0,0.207260480411185,0.3041933597343925,0.6177562134296065,1.2986571413964147,0.0,0.0,0.0,0.139,1000,moderate_attention
TOX005,formaldehyde,aldehyde,indoor_air,inhalation,respiratory,cancer_non_cancer,0.06,mg_m3,0.0098,1.3e-05,0.8,16.0,70.0,350.0,10.0,3650.0,0.75,0.8,1.05,irritants,0.01315068493150685,0.009863013698630137,1.0064299692479732,1.056751467710372,81.11111111111111,1.2821917808219176e-07,0.16100209072637914,0.4574226732463495,0.9957732263067939,2.1326566910282647,8.061112364672411e-08,1.274778510435735e-07,2.027693235113942e-07,0.496,1000,high_attention
TOX006,chlorpyrifos,pesticide,food,ingestion,neurodevelopment,non_cancer,0.002,mg_kg,0.0003,0.0,0.01,1.2,20.0,365.0,6.0,2190.0,0.7,0.79,1.7,pesticides,0.00011999999999999999,8.399999999999998e-05,0.27999999999999997,0.4759999999999999,119.04761904761908,0.0,0.207326891891132,0.13327124598518542,0.282575608988339,0.5767042468976228,0.0,0.0,0.0,0.001,1000,monitor
TOX007,PFOS,pfas,drinking_water,ingestion,immune_endocrine,non_cancer,2e-05,mg_L,2e-08,0.0,2e-05,2.0,70.0,350.0,30.0,10950.0,0.9,0.74,1.35,persistent_organics,5.47945205479452e-07,4.931506849315068e-07,24.65753424657534,33.28767123287671,40.55555555555556,0.0,0.546,11.292229909902984,24.80016152417036,54.25494992416672,0.0,0.0,0.0,1.0,1000,high_attention
TOX008,ozone,oxidant,air,inhalation,respiratory,non_cancer,0.14,mg_m3,0.03,0.0,0.3,18.0,70.0,120.0,1.0,365.0,1.0,0.86,1.25,air_pollutants,0.011835616438356166,0.011835616438356166,0.3945205479452055,0.49315068493150693,25.347222222222218,0.0,0.1264079792112745,0.18942600523552686,0.39451183448525,0.8709960229881436,0.0,0.0,0.0,0.029,1000,moderate_attention
TOX009,cadmium,metal,food,ingestion,kidney,non_cancer,0.015,mg_kg,0.001,0.0,0.02,1.4,70.0,365.0,30.0,10950.0,0.05,0.81,1.15,metals_metalloids,0.0003,1.4999999999999999e-05,0.014999999999999998,0.017249999999999995,1333.3333333333335,0.0,0.051794065152965967,0.007223419840905667,0.014664105856490004,0.031215345565235326,0.0,0.0,0.0,0.0,1000,monitor
TOX010,naphthalene,pah_indoor,indoor_air,inhalation,respiratory,cancer_non_cancer,0.006,mg_m3,0.003,0.12,0.1,16.0,70.0,350.0,10.0,3650.0,0.7,0.78,1.0,volatile_organics,0.001315068493150685,0.0009205479452054794,0.3068493150684931,0.3068493150684931,108.6309523809524,0.00011046575342465752,0.3222226319696985,0.1496178339973803,0.29753275440147103,0.6524206648716665,7.02361452682805e-05,0.00010809436876128613,0.0001787167494662034,0.005,1000,high_attention
